Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
АССОЛЬ;Центральный;улица Декабристов 114/1;93;2;15;14025000;150806
АССОЛЬ;Ленинский;Сибирский проспект 12;62;9;9;5850000;93153
Этажи Омск;Кировский;улица Лукашевича 23А;62;8;9;5900000;94855
ДОМСК;Кировский;улица Дианова 30;64;8;10;6600000;103125
БАСТИОН-РИЭЛТ;Октябрьский;проспект Космический 5;53;4;5;4200000;78505
Мой мир;Ленинский;улица Всеволода Иванова 6;55;5;5;5000000;90090
СмартРиэлт;Кировский;улица Степанца 6В;62;2;10;6500000;104000
Риэлт Сибирь;Центральный;улица Челюскинцев 102к2;66;2;10;5900000;89394
Мой мир;Центральный;Осоавиахимовская улица 189;59;4;5;4500000;75503
АТТАШЕ;Кировский;улица Лукашевича 7;60;1;9;5290000;88167
Копейка;Центральный;улица Звездова 129/1;76;1;10;8399000;110223
МЕТА;Кировский;улица Лисицкого 5;49;4;5;3350000;67677
Держава;Ленинский;улица Радищева 88;59;4;5;4690000;79357
Жилфонд Омск;Кировский;улица Ватутина 28/1;67;1;10;5700000;84195
Ледон;Центральный;Дальняя улица 42/1;62;2;3;4150000;66188
Самолет Плюс Омск;Центральный;улица Шукшина 7;155;1;6;13899935;89677
НСБ-Недвижимость;Кировский;улица Бетховена 30;61;5;5;3800000;62092
НСБ-Недвижимость;Центральный;улица Челюскинцев 83В;58;3;5;4800000;82616
АТТАШЕ;Кировский;улица 2-я Любинская 11А;62;2;10;5500000;87719
АССОЛЬ;Центральный;Краснознаменная улица 8;69;5;5;5775000;82618
ОМСК РИЭЛТ;Советский;Заозерная улица 3А;59;4;5;3820000;64094
Этажи Омск;Центральный;улица Тютчева 6;108;2;6;14114628;130691
Анна Безбокова;Советский;мкр. Город Нефтяников Городок Нефтяников мкр;97;6;9;8980000;92577
Светлана Шумилова;Советский;улица 50 лет Профсоюзов 126;60;3;5;4500000;75000
Этажи Омск;Советский;Кемеровская улица 11;153;3;9;14299000;93336
Добрый Дом;Советский;улица Андрианова 22;55;5;5;3560000;64029
Этажи Омск;Кировский;улица Степанца 14;63;3;9;5600000;87912
ID 70293296;Центральный;улица Багратиона 9;58;2;5;3870000;66154
Твой город возможностей;Центральный;Волочаевская улица 17;57;9;9;6300000;110526
Держава;Центральный;улица Сазонова 33;118;2;14;19200000;162712
Элит-Сити;Советский;улица Малунцева 1;84;4;4;8410000;100000
ID 18944581;Ленинский;улица Вокзальная 49;41;2;5;3400000;82324
Радонеж;Октябрьский;проспект Космический 14Бк6;69;10;10;7887114;114306
«АКАДЕМИЯ ЖИЛЬЯ-55»;Октябрьский;улица 75-й Гвардейской Бригады 10Б;48;5;5;3900000;79918
Союз Гарант;Центральный;улица 1-я Челюскинцев 96;73;5;11;7100000;96076
Виталий Петрович Келлер;Советский;улица Глинки 1;52;3;9;5240000;100000
Альянс Сити;Кировский;проспект Комарова 9;126;6;10;13500000;107143
АВЕСТА-РИЭЛТ;Советский;проспект Менделеева 25В;49;1;5;3500000;70281
Азбука Недвижимости;Советский;Заозерная улица 3;56;6;9;3900000;69643
Твой город возможностей;Центральный;улица Вавилова 31;65;3;5;6700000;103077
Самолет Плюс Омск-Центр;Ленинский;улица Серова 6;51;1;2;3320000;64844
НСБ-Недвижимость;Советский;улица 50 лет Октября 98;60;6;9;3750000;61983
ЛИОРА;Центральный;проезд 2-й Амурский 4;80;8;10;9100000;113750
МЕТА;Центральный;Омская улица 117/2;95;10;10;8550000;89529
АССОЛЬ;Советский;переулок 1-й Башенный 4;62;2;10;5500000;87719
Наталья Антонова;Кировский;бульвар Архитекторов 3/8;64;2;9;6400000;98765
АССОЛЬ;Центральный;улица 5-я Северная 195;63;8;9;4600000;72670
Этажи Омск;Центральный;улица Красных Зорь 148;99;8;10;9999000;100190
Этажи Омск;Ленинский;улица Архиепископа Сильвестра 1;70;4;9;5799990;82857
Радонеж;Советский;проспект Мира 88А;62;5;5;5400000;86957
ЛИОРА;Центральный;улица Герцена 65/1;127;6;6;14000000;110236
РИЭЛТКОНСАЛТ;Кировский;улица Комбикормовый завод 3;61;1;2;3708000;60787
Этажи Омск;Ленинский;Ангарская улица 13;78;2;2;6100000;77411
Этажи Омск;Кировский;Мельничная улица 87/4;82;8;9;7800000;94317
СмартРиэлт;Центральный;Сибмисовская улица 12;62;5;5;3870000;62419
ЛИОРА;Центральный;Барнаульская улица 97;74;9;10;7100000;95302
Ледон;Ленинский;улица Молодогвардейская 10;55;2;5;4200000;76364
Этажи Омск;Кировский;бульвар Зеленый 6;63;9;9;6090000;96667
Этажи Омск;Кировский;улица Авиагородок 5;70;4;4;4500000;63830
ТандемТ;Центральный;улица 10 лет Октября 147;83;9;10;9200000;110577
Жилфонд Омск;Кировский;Старый Кировск мкр 39;40;1;2;2000000;49875
Домофон;Октябрьский;улица 5-я Кордная 51;59;5;5;3400000;57627
АССОЛЬ;Октябрьский;улица 5-я Кордная 65;52;5;5;3690000;70962
Проект;Центральный;улица 21-я Амурская 3;54;4;5;4200000;76642
НСБ-Недвижимость;Октябрьский;проспект Космический 20к7;62;3;9;8600000;138264
Сибирский регион;Кировский;бульвар Архитекторов 7/1;62;9;9;6200000;98726
Этажи Омск;Центральный;улица Арнольда Нейбута 7;110;5;10;11500000;104167
ЛИОРА;Центральный;улица 27-я Северная 123Б;58;2;5;4280000;72789
ЛИОРА;Центральный;улица 27-я Северная 84А;57;2;5;5050000;87370
Этажи Омск;Центральный;улица 5-я Северная 193/1;63;5;9;5400000;84507
Самолет Плюс Омск-Центр;Советский;проспект Мира 169Б;60;3;5;4200000;70000
АССОЛЬ;Центральный;улица Богдана Хмельницкого 40;63;9;12;6060000;96190
Проект;Советский;Заозерная улица 11;60;2;9;4620000;75987
АТТАШЕ;Кировский;Мельничная улица 91;70;4;9;6000000;85714
Ледон;Ленинский;Моторная улица 13;49;2;5;4100000;83673
АССОЛЬ;Ленинский;улица 1-я Станционная 1;70;5;5;5000000;71327
АВЕСТА-РИЭЛТ;Кировский;Днепровская улица 42А;57;1;2;2400000;41958
Самолет Плюс Омск-Центр;Кировский;улица 1-я Автомобильная 2;60;2;2;3300000;54545
Этажи Омск;Кировский;улица 4-я Любинская 38;60;5;5;4000000;66667
АВЕСТА-РИЭЛТ;Кировский;улица Авиагородок 5;71;2;4;3799000;53133
Самолет Плюс Омск;Кировский;Волгоградская улица 24Б;49;4;5;4600000;93686
СоДействие;Ленинский;Моторная улица 13;58;2;5;5297000;91170
Этажи Омск;Центральный;улица Багратиона 82А;48;5;5;3700000;76132
ЛИОРА;Кировский;улица Суровцева 53;63;5;5;4990000;79206
Домофон;Центральный;Успешная улица 4;61;2;3;5000000;80906
ВЕТЕР ПЕРЕМЕН;Октябрьский;Харьковская улица 19к2;70;1;9;5500000;78571
Этажи Омск;Центральный;улица Багратиона 17;63;1;5;5500000;87163
ИПОТЕКА-ЦЕНТР;Кировский;улица Ватутина 24/1;68;10;11;7350000;106831
