Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
ID 70680330;Советский;улица 22 Апреля 16;56;5;5;4650000;83036
Жизнь города;Ленинский;улица Ярослава Гашека 12;62;6;10;4710000;75481
АВЕСТА-РИЭЛТ;Советский;улица Бархатовой 9А;62;5;5;4710000;75360
АВЕСТА-РИЭЛТ;Советский;улица 50 лет Профсоюзов 109А;63;2;5;4740000;74763
Лин-Сервис;Октябрьский;улица 75-й Гвардейской Бригады 10А;62;1;5;4700000;75684
Самолет Плюс Омск-Центр;Центральный;улица Нахимова 59;56;3;5;4700000;83186
Квартсервис;Октябрьский;улица 50 лет ВЛКСМ 1;59;1;5;4700000;78595
ID 70293497;Центральный;улица 5-й Армии 71;50;1;5;4714000;93347
ID 75014133;Ленинский;проспект Карла Маркса 89а;49;2;5;4749000;96918
«АКАДЕМИЯ ЖИЛЬЯ-55»;Ленинский;проспект Карла Маркса 89а;49;2;5;4749000;96918
ID 104914481;Ленинский;мкр. Омская Птицефабрика 51;74;1;3;4700000;63514
АВЕСТА-РИЭЛТ;Октябрьский;улица Романенко 9;62;3;5;4750000;75879
Самолет Плюс Омск-Центр;Ленинский;улица Вострецова 7/2;60;5;5;4750000;79167
Ледон;Кировский;улица Муромцева 89;48;2;5;4770000;97546
Квартсервис;Советский;улица 22 Апреля 8А;56;5;5;4750000;84520
Советник-Недвижимость;Ленинский;проспект Карла Маркса 89а;50;2;5;4750000;95000
ID 70291858;Советский;проспект Мира 57А;57;3;5;4790000;83595
ID 70291780;Центральный;улица 20-я Амурская 57;70;5;5;4760000;68000
Самолет Плюс Омск-Центр;Кировский;улица Можайского 1;61;4;5;4800000;78049
МИАРД ВЛАДИС;Центральный;улица Яковлева 12;59;3;5;4800000;80537
Доверие;Кировский;улица Ватутина 7Б;63;3;5;4800000;76190
Этажи Омск;Кировский;улица Лисицкого 9Б;61;1;9;4800000;78689
Самолет Плюс Омск-Центр;Советский;улица Бородина 48;49;7;9;4800000;96774
Самолет Плюс Омск-Центр;Советский;проспект Королева 14;59;9;9;4800000;80537
Лилия Никольская;Советский;проспект Мира 21;60;5;5;4800000;79734
ID 70292202;Советский;проспект Мира 163к2;69;5;5;4800000;69565
ОМСК РИЭЛТ;Советский;улица Химиков 20А;55;5;5;4820000;86225
ID 70291944;Ленинский;Входной мкр 19/1;67;4;6;4810000;71791
АВЕСТА-РИЭЛТ;Кировский;улица Лукашевича 10Б;58;3;5;4870000;83390
АВЕСТА-РИЭЛТ;Центральный;Красногвардейская улица 59;56;4;5;4870000;86501
Мой дом;Кировский;улица Комкова 7Б;59;4;9;4899000;81923
Самолет Плюс Омск-Центр;Советский;улица 20-го Партсъезда 54А;54;5;5;4890000;90556
Самолет Плюс Омск-Центр;Кировский;Мельничная улица 89к6;65;5;5;4850000;74273
МИАРД ВЛАДИС;Кировский;улица Лукашевича 19А;58;5;5;4850000;82343
МИАРД ВЛАДИС;Советский;улица 20-го Партсъезда 28;64;2;3;4870000;76094
ID 70291851;Советский;проспект Менделеева 6;58;4;5;4890000;83877
ID 70292117;Центральный;улица Степана Разина 3;50;1;5;4870000;97400
ID 70292075;Центральный;улица Декабристов 139;59;3;5;4890000;82601
ID 70292075;Ленинский;улица Демьяна Бедного 73;59;8;9;4880000;82712
ID 70292118;Октябрьский;улица 4-я Транспортная 42А;81;3;10;4899000;59963
ID 75014133;Кировский;Волгоградская улица 30Б;58;2;5;4850000;82765
ID 70295414;Центральный;Волочаевская улица 19Г;57;5;5;4900000;85814
ID 70292075;Советский;улица Энтузиастов 31;56;5;5;4900000;86879
ID 70293557;Советский;Заозерная улица 36;63;1;9;4900000;77778
Жизнь города;Ленинский;улица Алексея Полторацкого 64;65;2;10;4990000;76300
РИЭЛТКОНСАЛТ;Октябрьский;улица 75-й Гвардейской Бригады 10;62;1;5;4999000;80499
АВЕСТА-РИЭЛТ;Советский;улица Коммунальная 13Б;62;2;5;4970000;80032
АВЕСТА-РИЭЛТ;Советский;Нефтезаводская улица 36А;54;5;5;4999000;92574
АВЕСТА-РИЭЛТ;Центральный;Красногвардейская улица 43;56;4;5;4980000;88929
Елена Зотова;Октябрьский;улица Кирова 5а;60;5;6;4950000;82500
РИЭЛТКОНСАЛТ;Советский;улица Коммунальная 13А;59;5;5;4990000;83866
Империя;Советский;проспект Менделеева 3;60;1;5;4990000;83167
Самолет Плюс Омск-Центр;Кировский;Инженерная улица 119;58;5;5;4950000;84760
РИЭЛТКОНСАЛТ;Ленинский;улица Труда 5;62;1;5;4950000;78696
ID 103116527;Центральный;улица 10 лет Октября 203;67;1;5;4950000;73881
ID 70293356;Октябрьский;Харьковская улица 19к2;70;1;9;4999000;71009
ID 85111901;Ленинский;улица Василия Маргелова 391;63;5;5;4990000;79206
ID 70291885;Кировский;Волгоградская улица 10;59;4;5;4970000;83811
ID 98079593;Центральный;Омская улица 152;68;6;9;4999000;72660
ОМСК РИЭЛТ;Советский;улица Сергея Тюленина 15;60;5;5;4985000;82945
ОМСК РИЭЛТ;Советский;переулок 1-й Башенный 4;65;3;10;4970000;75532
ID 70292038;Ленинский;улица Демьяна Бедного 93;67;10;12;4950000;73881
ID 70293727;Ленинский;улица Жуковского 33/3;63;8;9;4990000;78956
ID 70292059;Кировский;бульвар Зеленый 9А;63;1;9;4950000;78571
ID 100484134;Октябрьский;улица 4-я Кордная 48;66;5;10;4980000;74663
Доверие;Октябрьский;улица Романенко 7А;59;1;5;5000000;83612
ДОМСК;Кировский;улица Перелета 4;60;2;9;5000000;83056
Самолет Плюс Омск-Центр;Кировский;улица Бережного 5;58;1;5;5000000;86207
ID 85023064;Кировский;улица Суровцева 53;63;5;5;5000000;78864
ID 70293298;Кировский;Революционная улица 13;59;2;5;5000000;84746
ID 70293500;Советский;проспект Мира 92;60;8;9;5000000;83333
ID 104666879;Октябрьский;улица 5-я Кордная 6;72;2;2;5000000;69444
ID 101672913;Кировский;улица Дианова 30;64;10;10;5000000;77882
ID 106373293;Ленинский;улица Ишимская 18;64;2;3;5000000;78125
АВЕСТА-РИЭЛТ;Кировский;Транссибирская улица 5;60;5;5;5077000;84617
Мой дом;Кировский;улица Фугенфирова 1;59;1;5;5099000;85987
РИЭЛТКОНСАЛТ;Ленинский;улица Стальского 1;61;1;9;5089000;83290
ID 85023064;Центральный;улица 27-я Северная 84А;57;2;5;5050000;88596
ID 73047826;Кировский;улица Перелета 4;61;6;9;5050000;82787
CRYSTAL ESTATE;Ленинский;улица Ярослава Гашека 3/2;63;1;9;5080000;80635
ID 70295324;Центральный;улица 10 лет Октября 187А;50;3;5;5050000;101000
ID 88545730;Центральный;улица 27-я Северная 84А;57;2;5;5050000;88596
Квартсервис;Центральный;улица 27-я Северная 84А;57;2;5;5100000;89474
Самолет Плюс Омск-Центр;Октябрьский;улица Петра Осминина 20;60;5;5;5100000;84859
РИЭЛТКОНСАЛТ;Центральный;улица 7-я Судоремонтная 1;70;1;5;5100000;71932
Омский Центр недвижимости и ипотеки;Октябрьский;Харьковская улица 27;70;9;12;5100000;72340
ID 85935565;Октябрьский;улица 5-я Кордная 6;72;2;2;5120000;71111
ID 70291780;Советский;улица Красный Путь 145А;59;2;9;5100000;86441
ID 70291809;Центральный;улица Яковлева 4;49;1;5;5100000;104082
ID 75014133;Кировский;улица Перелета 2;60;2;10;5100000;85000
«АКАДЕМИЯ ЖИЛЬЯ-55»;Кировский;улица Перелета 2;60;2;9;5100000;85000
ID 70295320;Центральный;улица Гражданская 1;65;2;9;5100000;78462
«АКАДЕМИЯ ЖИЛЬЯ-55»;Ленинский;улица Жуковского 31/1;62;1;9;5100000;81862
БУТЕРИН;Октябрьский;улица Кирова 22/2;64;2;10;5100000;79688
ID 106987495;Центральный;Краснознаменная улица 20;68;5;6;5100000;74020
ID 101926561;Ленинский;Сибирский проспект 2/1;58;5;5;5100000;87629
ID 104850072;Центральный;улица Масленникова 9б;48;1;5;5100000;106250
АВЕСТА-РИЭЛТ;Кировский;улица Лукашевича 19;59;4;5;5180000;87648
АВЕСТА-РИЭЛТ;Центральный;улица 10 лет Октября 149;50;1;9;5170000;102579
РИЭЛТКОНСАЛТ;Советский;улица Бородина 15;69;5;5;5150000;74638
РИЭЛТКОНСАЛТ;Центральный;улица Рабиновича 124;50;5;5;5150000;101980
МИАРД ВЛАДИС;Советский;Заозерная улица 32;63;3;9;5190000;81991
ID 73048108;Советский;Заозерная улица 17;61;7;9;5199000;85230
Ледон;Кировский;улица Володарского 120;63;5;9;5200000;81633
Лин-Сервис;Кировский;бульвар Архитекторов 1/3;62;6;9;5200000;83871
МИАРД ВЛАДИС;Центральный;улица Звездова 162;58;5;5;5200000;88586
МИАРД ВЛАДИС;Октябрьский;улица Рощинская 1;59;1;5;5200000;88136
ID 85023064;Советский;проспект Мира 100А;57;2;5;5200000;91228
ID 70293430;Кировский;улица Лукашевича 2А;63;5;9;5200000;82540
ID 70293344;Кировский;улица Дианова 21А;59;1;5;5200000;88136
Азбука Недвижимости;Кировский;улица 12 Декабря 104;60;5;5;5200000;86667
ID 96991089;Ленинский;улица Шакурова 8/1;68;2;5;5200000;76023
ID 70292014;Центральный;Омская улица 209;61;1;9;5200000;85246
ID 70291812;Центральный;улица 24-я Северная 171;58;4;5;5200000;89501
ID 73047651;Кировский;улица 3-я Любинская 15;63;2;10;5220000;82205
ID 70293727;Ленинский;улица Батумская 1/3;69;2;5;5225000;75725
«АКАДЕМИЯ ЖИЛЬЯ-55»;Ленинский;улица Демьяна Бедного 73;60;2;9;5220000;87000
ID 70291944;Советский;улица Химиков 12;63;1;9;5200000;82540
РИЭЛТКОНСАЛТ;Центральный;набережная Иртышская 15;59;3;5;5299000;89814
Самолет Плюс Омск-Центр;Центральный;улица Гусарова 2;42;5;5;5250000;123239
Мой дом;Советский;проспект Королева 10В;66;5;5;5250000;79425
ID 70293828;Кировский;улица Рокоссовского 14/2;68;5;5;5290000;77794
ID 70295187;Октябрьский;улица 5-я Рабочая 70;57;1;5;5250000;92105
ID 87434855;Советский;улица Химиков 14;63;2;10;5250000;83333
ID 70292014;Ленинский;Моторная улица 1;61;9;9;5250000;86066
ID 87434855;Кировский;улица Седова 57;60;5;5;5250000;87500
ID 73309736;Центральный;улица 21-я Амурская 28;63;3;5;5299000;83318
Метражи;Советский;улица Энергетиков 68;62;7;10;5300000;84261
РИЭЛТКОНСАЛТ;Советский;улица Лаптева 5;57;3;9;5300000;92982
РИЭЛТКОНСАЛТ;Октябрьский;улица 15-я Рабочая 90;69;3;12;5300000;75823
Доверие;Советский;переулок 1-й Башенный 4;63;10;10;5300000;84127
ДОМСК;Центральный;улица Лермонтова 130;61;4;9;5300000;86601
Самолет Плюс Омск-Центр;Центральный;Омская улица 119;65;1;9;5300000;81040
ID 70293530;Центральный;Полковая улица 41;68;1;4;5300000;77941
ID 70292175;Центральный;улица Багратиона 90;65;4;5;5300000;81538
ID 70292071;Советский;проспект Мира 106А;61;3;9;5300000;86885
ID 70293873;Кировский;улица 12 Декабря 104;59;5;5;5300000;89831
ID 70292099;Октябрьский;улица Романенко 10Б;57;3;5;5300000;92496
ID 101446676;Советский;улица 22 Апреля 8В;65;3;5;5300000;81538
ID 70291999;Кировский;улица Лукашевича 1А;58;5;5;5300000;90290
АВЕСТА-РИЭЛТ;Кировский;улица 70 лет Октября 13/2;69;9;12;5385000;77260
ID 85023064;Ленинский;улица Стальского 1;52;2;9;5390000;103654
ID 75006150;Центральный;улица 10 лет Октября 145;60;8;9;5350000;89167
ID 70295565;Кировский;улица Рокоссовского 10;62;9;9;5380000;86774
ID 107196718;Центральный;улица 10 лет Октября 145;58;5;9;5350000;92083
ID 70292169;Кировский;улица 70 лет Октября 14/1;64;5;9;5350000;83594
ID 75014133;Кировский;улица Рокоссовского 10;62;9;10;5380000;86080
Азбука Недвижимости;Советский;улица Сергея Тюленина 1а;63;4;5;5360000;85079
ID 102700151;Ленинский;улица Стальского 1;52;2;9;5390000;103654
ID 70291885;Октябрьский;Харьковская улица 27;70;5;12;5360000;76136
ID 70291895;Центральный;улица Декабристов 102;59;3;5;5350000;90678
ID 70292122;Центральный;улица 24-я Северная 198;63;8;9;5399000;85698
ID 105112667;Ленинский;улица Стальского 1;53;2;9;5390000;101698
ID 70291944;Кировский;улица Лукашевича 5;67;11;12;5370000;80149
МИАРД ВЛАДИС;Советский;улица 2-я Поселковая 49;51;6;9;5400000;104651
РИЭЛТКОНСАЛТ;Советский;проспект Мира 88А;61;5;5;5400000;88525
Самолет Плюс Омск-Центр;Центральный;улица 5-я Северная 195;61;9;10;5400000;88091
Елена Зотова;Ленинский;улица Шакурова 9;69;5;5;5400000;78261
НЕДВИЖИМОСТЬ.РУ;Ленинский;улица Константина Заслонова 4;65;2;6;5430000;82398
ID 70292039;Центральный;улица 21-я Амурская 41/3;74;6;10;5400000;72973
ID 70293368;Кировский;улица Лукашевича 27А;63;2;9;5400000;85714
ID 70293703;Кировский;улица Рокоссовского 10/1;62;1;9;5400000;87097
ID 70292330;Советский;улица Химиков 16;64;1;9;5400000;84375
АВЕСТА-РИЭЛТ;Ленинский;улица Вострецова 4;61;8;9;5489000;89543
Квартсервис;Ленинский;улица Стальского 9;60;1;9;5490000;91500
Квартсервис;Кировский;улица Конева 34;64;4;10;5490000;85781
Квартсервис;Центральный;улица 27-я Северная 119;67;2;5;5450000;80502
ID 85935565;Советский;улица Лаптева 6;50;8;9;5450000;108350
ID 70292209;Кировский;Взлетная улица 1;63;1;9;5490000;87143
ID 70293729;Кировский;улица Крупской 17/3;64;1;9;5450000;84235
ID 98129783;Октябрьский;улица 5-я Кордная 69;59;5;5;5490000;93051
ВАРИАНТ;Советский;Нефтезаводская улица 13А;72;1;4;5497000;76347
Маргарита Астапкович;Кировский;улица Конева 38;63;6;10;5500000;86888
ID 94851751;Советский;проспект Менделеева 33;49;3;9;5500000;111562
Аркада-Стиль;Центральный;улица Завертяева 7к5;63;10;10;5550000;88095
РИЭЛТКОНСАЛТ;Центральный;улица 5-й Армии 71;59;4;5;5550000;92809
Самолет Плюс Омск-Центр;Октябрьский;улица 3-я Транспортная 11;56;1;3;5500000;97173
Маргарита Астапкович;Кировский;улица Авиагородок 36;59;1;5;5500000;92593
Квартсервис;Советский;улица 2-я Поселковая 53В;62;1;5;5500000;88424
Самолет Плюс Омск-Центр;Кировский;улица Ватутина 28;65;10;10;5500000;84227
Самолет Плюс Омск-Центр;Кировский;улица Крупской 9/1;63;9;10;5500000;87302
МИАРД ВЛАДИС;Советский;улица Грозненская 20;69;1;2;5500000;78797
ID 70295187;Центральный;улица Авангардная 3;60;4;5;5550000;92500
ID 70291990;Советский;улица Блюхера 20;62;1;9;5500000;88424
ID 96727033;Октябрьский;улица 5-я Линия 153;58;3;5;5500000;94828
ID 70292117;Советский;проспект Менделеева 43;63;10;10;5530000;87362
ID 66270914;Ленинский;улица Константина Заслонова 4;75;2;5;5500000;73333
ID 70292121;Советский;улица 2-я Поселковая 12;65;3;5;5570000;85692
ID 70293356;Кировский;проспект Комарова 27/6;63;2;9;5500000;87302
ID 73047561;Октябрьский;улица Печникова 300;57;1;5;5500000;96491
ID 70292139;Кировский;улица Крупской 19/1;63;2;9;5505000;87242
Азбука Недвижимости;Октябрьский;улица 3-я Кордная 24;58;2;5;5550000;95690
ОМСК РИЭЛТ;Советский;Заозерная улица 36;62;1;9;5500000;87580
ID 70293613;Советский;улица 22 Апреля 10А;58;2;5;5500000;94502
ID 70293342;Кировский;улица Туполева 3А;62;4;5;5580000;90000
ID 73048093;Советский;улица 50 лет Профсоюзов 119;58;2;9;5500000;94828
ID 79396733;Кировский;улица Рокоссовского 16к2;63;5;10;5500000;87302
ID 70293304;Ленинский;улица Кучерявенко 5;63;4;5;5510000;87460
ПОКРОВ;Кировский;улица Ватутина 13Б;50;1;5;5560000;111200
ID 70293727;Ленинский;улица Ярослава Гашека 11/2;61;4;9;5590000;90894
Самолет Плюс Омск-Центр;Ленинский;улица 1-й Красной Звезды 71;76;1;9;5600000;72822
ID 70295495;Октябрьский;проспект Космический 12;58;5;5;5600000;96552
ID 70293713;Кировский;улица Рокоссовского 20;70;1;12;5600000;80000
ID 59156641;Кировский;Взлетная улица 5;63;4;9;5630000;89365
ID 70292091;Центральный;улица Алтайская 18к1;113;1;9;5600000;49558
ID 79874107;Советский;улица Магистральная 7А;71;2;2;5600000;78873
Ольга Бадлеева;Центральный;Новый Амур ЖК 5-й мкр;70;6;12;5600000;79886
ID 70293319;Центральный;проспект Карла Маркса 10б;55;4;5;5620000;101261
ID 56448249;Советский;улица Магистральная 7А;71;2;2;5600000;78873
БУТЕРИН;Центральный;улица Яковлева 12;61;1;5;5600000;91803
ID 104460015;Советский;проспект Менделеева 10/1;70;5;5;5600000;80000
ID 5025082;Советский;проспект Менделеева 41;63;3;9;5650000;89117
Доверие;Кировский;проспект Комарова 27;63;9;9;5650000;89683
Доверие;Центральный;Омская улица 123;63;5;9;5650000;89683
Квартсервис;Кировский;улица 12 Декабря 104;60;3;5;5690000;94833
ID 70293454;Кировский;Торговая улица 36;64;4;9;5650000;88281
ID 70292033;Советский;Заозерная улица 1;56;6;9;5650000;100893
ID 70292147;Кировский;улица Путилова 6;59;1;5;5650000;95763
ОМСК РИЭЛТ;Советский;проспект Мира 47;57;5;5;5650000;98604
ID 70291841;Кировский;улица 4-я Любинская 36;63;3;9;5699000;90174
ID 75014133;Кировский;бульвар Зеленый 9А;62;1;9;5650000;89825
ID 47771354;Октябрьский;улица 5-я Рабочая 83;60;1;9;5699000;94983
ID 31598943;Кировский;улица 70 лет Октября 18/1;65;5;9;5650000;86923
Мой дом;Советский;проспект Королева 8;62;1;9;5730000;92122
Квартсервис;Кировский;улица Лукашевича 19А;60;1;5;5700000;95000
РИЭЛТКОНСАЛТ;Кировский;улица Путилова 10;60;4;5;5700000;95000
РИЭЛТКОНСАЛТ;Кировский;улица Дмитриева 15/1;64;4;9;5700000;88785
МИАРД ВЛАДИС;Центральный;улица Багратиона 84;69;2;5;5740000;83188
ID 21912474;Кировский;Взлетная улица 5А;63;9;9;5700000;90190
ID 70292063;Кировский;улица Дмитриева 3/4;66;3;10;5700000;86364
ID 85842946;Октябрьский;улица 4-я Железнодорожная 10;62;1;5;5700000;91935
ID 333849;Советский;Городок Нефтяников мкр улица 22 Апреля;62;5;5;5700000;91640
ID 70291809;Центральный;Учебная улица 155;65;6;9;5700000;87692
ID 75014133;Кировский;улица Рокоссовского 16к2;63;9;9;5700000;90047
ID 74926464;Центральный;улица Ядринцева 24;63;10;10;5700000;90476
ID 70293423;Кировский;Мельничная улица 91;62;6;9;5700000;90764
ID 70293340;Центральный;улица Стороженко 25к5;70;5;10;5700000;81081
ID 93142217;Советский;проспект Менделеева 43;64;1;10;5700000;89063
ID 75014133;Кировский;улица Ватутина 28/1;66;1;10;5700000;86364
Квартсервис;Советский;улица Блюхера 8;63;1;5;5790000;91469
МИАРД ВЛАДИС;Кировский;улица Ватутина 4;61;5;9;5750000;94262
АВЕСТА-РИЭЛТ;Кировский;улица Лукашевича 21;68;9;12;5800000;84180
ID 70291891;Центральный;улица 10 лет Октября 105;63;1;9;5800000;91627
ID 70292050;Кировский;проспект Комарова 1;63;3;9;5800000;92063
ID 70291812;Центральный;улица Завертяева 7к5;63;2;10;5800000;92063
ID 74384226;Ленинский;улица Стальского 1;63;8;9;5800000;91918
ID 70293476;Кировский;Куломзинская улица 105;58;1;5;5800000;100000
ID 70292261;Кировский;улица Перелета 4;63;9;9;5849000;92841
СТРОЙ-ИНВЕСТ;Центральный;Омская улица 111;68;1;5;5800000;85294
ID 107349391;Центральный;улица Добровольского 5;58;3;5;5800000;99145
ID 101736327;Центральный;улица Челюскинцев 104к1;59;2;9;5800000;98305
АВЕСТА-РИЭЛТ;Ленинский;улица Стальского 9;60;5;9;5850000;97500
АВЕСТА-РИЭЛТ;Советский;улица Коммунальная 19/1;68;4;5;5850000;85777
ID 70295495;Октябрьский;проспект Космический 18Б;58;8;9;5850000;100862
ID 70291809;Кировский;улица Дианова 12/1;69;11;12;5850000;84783
ID 73048198;Октябрьский;улица 4-я Линия 178;74;8;9;5899000;79716
Азбука Недвижимости;Советский;улица 1-я Поселковая 11;57;2;9;5870000;102982
ID 73047578;Кировский;улица 3-я Любинская 24к2;63;7;10;5890000;93492
ID 77444670;Кировский;улица Перелета 4;63;9;9;5850000;92857
Этажи Омск;Центральный;улица Герцена 270;66;9;9;5999000;90894
Ирина Нескородева;Советский;улица Химиков 12;63;8;9;5950000;94146
Мой дом;Кировский;улица Дианова 26;62;5;10;5999000;96447
Самолет Плюс Омск-Центр;Кировский;Кировский мкр. 12-й;62;1;10;5900000;93800
Доверие;Ленинский;улица 14-й Военный Городок 144;64;2;5;5997000;93121
Квартсервис;Центральный;улица Богдана Хмельницкого 40;70;1;12;5980000;85429
Самолет Плюс Омск-Центр;Центральный;Краснознаменная улица 26к3;62;6;10;5900000;94249
МИАРД ВЛАДИС;Кировский;улица Крупской 5;63;9;9;5950000;94444
Риэлт-Сервис;Кировский;улица Лукашевича 25;66;10;12;5950000;90015
ID 70293342;Ленинский;проспект Карла Маркса 85А;62;3;5;5900000;95161
ID 70292241;Октябрьский;улица 4-я Транспортная 42А;64;5;10;5945000;92891
ID 89939937;Советский;проспект Мира 67;60;7;9;5950000;99167
ID 70295398;Кировский;улица Дианова 26;63;2;9;5950000;94444
ID 107056394;Советский;улица 4-я Новостроевская 3;63;1;9;5900000;93651
ID 101288618;Центральный;улица Челюскинцев 89;61;4;5;5950000;97222
ID 70291811;Центральный;улица Челюскинцев 102К1;66;2;9;5900000;88855
ID 70293476;Кировский;проезд Лесной 6;66;2;5;5990000;90758
ID 71840196;Ленинский;улица Калинина 11;59;3;9;5900000;100000
СТРОЙ-ИНВЕСТ;Ленинский;проспект Карла Маркса 66;61;3;14;5950000;96748
АВЕСТА-РИЭЛТ;Октябрьский;улица Кирова 7;62;4;9;6000000;95541
АВЕСТА-РИЭЛТ;Октябрьский;улица Кирова 7;62;5;9;6005000;96234
Самолет Плюс Омск-Центр;Советский;проспект Королева 8;62;8;9;6000000;96000
Самолет Плюс Омск-Центр;Кировский;улица 12 Декабря 1;76;7;10;5937500;78125
Самолет Плюс Омск-Центр;Кировский;улица Лукашевича 9;71;9;9;6000000;84507
Елена Зотова;Ленинский;улица 1-я Станционная 1к1;76;1;6;6000000;78947
ID 85023064;Центральный;Осоавиахимовская улица 187;56;3;5;6000000;106007
ID 98916452;Кировский;улица Дианова 8;63;2;9;6000000;95238
ID 70292014;Центральный;проспект Карла Маркса 29А;55;3;5;6000000;109091
ID 70293345;Центральный;улица Завертяева 9к16;70;6;10;6000000;85592
ID 70292045;Ленинский;улица Молодогвардейская 3/2;66;4;5;6000000;90909
Жизнь города;Октябрьский;Харьковская улица 15;69;5;5;6070000;87338
АВЕСТА-РИЭЛТ;Центральный;улица Красный Путь 22;63;7;9;6060000;95433
ID 70293383;Центральный;улица Звездова 132;63;9;9;6050000;96032
ID 82356177;Ленинский;улица Батумская 38/1;68;1;5;6050000;88840
ID 88582171;Кировский;улица Лисицкого 5;64;3;5;6050000;94090
Доверие;Ленинский;Батумская улица 41/1;96;2;10;6100000;63542
Метражи;Кировский;улица 3-я Любинская 22к2;65;1;11;6100000;93846
ID 106530955;Советский;Заозерная улица 36/2;70;4;5;6100000;87143
ID 70292140;Кировский;улица Лисицкого 5;64;3;5;6100000;94868
ID 103148928;Октябрьский;улица Сергея Лазо 155;58;3;5;6100000;104096
ID 70293461;Октябрьский;улица Кирова 7;62;7;9;6140000;98240
ID 70293583;Кировский;улица 4-я Любинская 34/1;80;9;9;6100000;76250
ID 70291958;Кировский;улица Дмитриева 15;64;2;9;6100000;95313
ID 105841287;Центральный;улица Завертяева 13к1;63;1;10;6100000;96825
РИЭЛТКОНСАЛТ;Ленинский;улица Труда 10;55;6;9;6159000;111982
РИЭЛТКОНСАЛТ;Кировский;проспект Комарова 27;63;9;9;6190000;98254
ID 70293546;Советский;Пригородная улица 25к2;62;6;14;6150000;98875
ID 15139865;Советский;улица Химиков 43;64;1;10;6199000;96859
ID 70295262;Центральный;улица Куйбышева 136;62;7;9;6195000;99279
ID 78195402;Ленинский;улица Федора Крылова 6;56;4;5;6150000;109821
АВЕСТА-РИЭЛТ;Ленинский;улица Ярослава Гашека 24;62;4;9;6210000;98885
ID 94851751;Октябрьский;улица Кирова 12;68;9;13;6220000;91202
МИАРД ВЛАДИС;Советский;проспект Королева 10;62;7;9;6290000;101452
Самолет Плюс Омск-Центр;Кировский;улица Дмитриева 1/4;62;5;9;6200000;98569
Самолет Плюс Омск-Центр;Советский;Заозерная улица 21;64;10;11;6200000;95532
МИАРД ВЛАДИС;Кировский;улица Крупской 1;64;4;9;6290000;98281
ID 70291889;Ленинский;Сибирский проспект 12;63;7;9;6200000;98413
ID 70291972;Советский;проспект Мира 163к3;87;5;5;6200000;71264
ID 70293288;Кировский;улица Рокоссовского 30;62;6;9;6200000;98726
ID 95471201;Советский;проспект Королева 10;62;8;9;6290000;101452
ID 70293642;Ленинский;улица Ярослава Гашека 13/1;65;4;9;6200000;94225
ID 70293642;Центральный;улица 28-я Северная 20;77;1;10;6200000;80519
ID 70292213;Центральный;проспект Карла Маркса 31;59;3;5;6200000;103853
ID 70293383;Центральный;улица Пушкина 140;63;9;9;6200000;98413
Азбука Недвижимости;Советский;улица 50 лет Профсоюзов 119;65;6;9;6280000;96615
ID 17685268;Кировский;улица Дианова 12/1;70;10;12;6200000;88571
ID 99315189;Ленинский;проспект Карла Маркса 45;75;4;5;6200000;82011
ID 70293516;Советский;переулок 1-й Башенный 8к1;78;7;10;6250000;80128
ID 5025082;Центральный;Омская улица 115;67;5;5;6300000;93058
АВЕСТА-РИЭЛТ;Кировский;улица 70 лет Октября 20;62;1;9;6300000;100639
РИЭЛТКОНСАЛТ;Центральный;улица 21-я Амурская 75;80;1;5;6300000;78750
ID 70293684;Центральный;улица Герцена 42;59;4;4;6300000;106780
ID 70291855;Центральный;Омская улица 117/1;74;8;9;6300000;85135
ID 70293292;Кировский;Мельничная улица 70;65;2;10;6300000;96923
ID 78195402;Советский;улица Блюхера 22/1;63;5;9;6300000;100000
Мой дом;Кировский;бульвар Зеленый 8;63;5;10;6390000;101429
ТимХаус;Центральный;улица Стороженко 25к9;72;8;10;6399000;88875
ID 73048168;Центральный;проезд 6-й Амурский 4;77;7;10;6341797;82361
ID 88545730;Советский;улица Бархатовой 5;65;8;10;6385000;97929
ID 96589007;Ленинский;проспект Карла Маркса 45;77;4;5;6350000;82361
Мой дом;Кировский;бульвар Зеленый 6;63;2;9;6490000;103016
МИАРД ВЛАДИС;Центральный;улица Арнольда Нейбута 66;61;4;9;6400000;104918
Квартсервис;Кировский;улица Лисицкого 5;63;3;5;6430000;101420
МИАРД ВЛАДИС;Кировский;проспект Комарова 3;63;2;9;6400000;101587
Елена Зотова;Октябрьский;Харьковская улица 27;72;4;12;6490000;90139
Елена Зотова;Кировский;улица 3-я Любинская 21;78;4;11;6399978;82051
НЕДВИЖИМОСТЬ.РУ;Кировский;улица Крупской 19/1;63;7;9;6400000;101426
ID 70291888;Ленинский;улица Серова 26;60;7;9;6400000;106667
ID 70291987;Центральный;улица Декабристов 139;69;3;5;6450000;92939
ID 73047561;Кировский;улица Дианова 18к1;81;7;12;6400000;79012
ID 70291780;Ленинский;улица Ярослава Гашека 1;63;5;9;6470000;102698
Азбука Недвижимости;Советский;улица Химиков 16/2;71;3;5;6470000;91127
ВАРИАНТ;Советский;Пригородная улица 27к2;75;11;16;6497000;86627
ID 81176690;Центральный;Кемеровская улица 20;59;3;9;6400000;107023
